"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA028 Agriculture: intensity,Code: EA028 Agriculture: intensity,Description: EA028 Agriculture: intensity,Comment: EA028 Agriculture: intensity,Subcase: EA028 Agriculture: intensity,References: EA028 Agriculture: intensity,Focal Year: EA112 Trance states,Code: EA112 Trance states,Description: EA112 Trance states,Comment: EA112 Trance states,Subcase: EA112 Trance states,References: EA112 Trance states,Focal Year: EA034 Religion: high gods,Code: EA034 Religion: high gods,Description: EA034 Religion: high gods,Comment: EA034 Religion: high gods,Subcase: EA034 Religion: high gods,References: EA034 Religion: high gods,Focal Year: EA035 Games,Code: EA035 Games,Description: EA035 Games,Comment: EA035 Games,Subcase: EA035 Games,References: EA035 Games
Ethnographic Atlas,Koreans,Ed1,xd638,Koreans (Ed1),38.0,127.5,35.0,102.0,kore1280,Korean,kor,Koreanic,1950,6,Intensive cultivation where it is largely dependent upon irrigation,,Kanghwa Island,Heydrich(1931); Hewes and Kim(1952); Osgood(1951); Rutt(1964); Kang(1931); Dallet(1874); ,1950,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,Kanghwa Island,,1950,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Kanghwa Island,Heydrich(1931); Hewes and Kim(1952); Osgood(1951); Rutt(1964); Kang(1931); Dallet(1874); ,1950,8,Games of all three types present,,Kanghwa Island,Heydrich(1931); Hewes and Kim(1952); Osgood(1951); Rutt(1964); Kang(1931); Dallet(1874); 
Ethnographic Atlas,Tikopia,Ii2,xd881,Tikopia (Ii2),-12.29,168.83,-12.0,168.0,tiko1237,Tikopia,tkp,Austronesian,1930,4,"Horticulture, i.e., semi-intensive agriculture limited mainly to vegetable gardens or groves of fruit trees rather than the cultivation of field crops",,Ravenga District,Firth(1956); Firth(1952); Firth(1940); Firth(1939); Firth(1936); Firth(1960); ,1930,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,Ravenga District,,1930,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Ravenga District,Firth(1956); Firth(1952); Firth(1940); Firth(1939); Firth(1936); Firth(1960); ,1930,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,Ravenga District,Firth(1956); Firth(1952); Firth(1940); Firth(1939); Firth(1936); Firth(1960); 
Ethnographic Atlas,Angami,Ei13,xd700,Angami (Ei13),26.0,94.0,26.0,94.0,anga1288,Angami Naga,njm,Sino-Tibetan,1910,6,Intensive cultivation where it is largely dependent upon irrigation,,,Hutton(1921a); ,1910,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,1910,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Hutton(1921a); ,1910,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Hutton(1921a); 
Ethnographic Atlas,Eastern Ojibwa,Na39,xd1055,Eastern Ojibwa (Na39),46.0,-85.0,46.0,-85.0,east2542,Eastern Ojibwa,ojg,Algic,1870,1,Complete absence of agriculture,,with special reference to the Kitchibuan of Parry Island,Jenness(1935); ,1870,1,"Trance behavior is known to occur, but there is no belief in possession.",,with special reference to the Kitchibuan of Parry Island,,1870,1,A high god absent or not reported in substantial descriptions of religious beliefs,,with special reference to the Kitchibuan of Parry Island,Jenness(1935); ,1870,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,with special reference to the Kitchibuan of Parry Island,Jenness(1935); 
Ethnographic Atlas,Toma,Af11,xd188,Toma (Af11),11.0,-9.0,11.0,-9.0,toma1245,Toma,tod,Mande,1920,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Gabory-Dubourdeau(1926); Schwab(1947); Rouet(1907); ,1920,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,1920,2,A high god present but otiose or not concerned with human affairs,,,Gabory-Dubourdeau(1926); Schwab(1947); Rouet(1907); ,1920,8,Games of all three types present,,,Gabory-Dubourdeau(1926); Schwab(1947); Rouet(1907); 
Ethnographic Atlas,Nomlaki,Nc1,xd1107,Nomlaki (Nc1),39.0,-122.0,39.0,-122.0,wint1259,Wintu,wit,Wintuan,1850,1,Complete absence of agriculture,,,Goldschmidt(1951); ,1850,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,1850,2,A high god present but otiose or not concerned with human affairs,,,Goldschmidt(1951); ,1850,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Goldschmidt(1951); 
Ethnographic Atlas,Nunamiut,Na12,xd1029,Nunamiut (Na12),68.0,-152.0,68.0,-152.0,anak1241,Anaktuvik Pass Inupiatun,,Eskimo-Aleut,1950,1,Complete absence of agriculture,,,Pospisil and Laughlin(1963); Gubser(1965); Spencer(1959); ,1950,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,1950,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Pospisil and Laughlin(1963); Gubser(1965); Spencer(1959); ,1950,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Pospisil and Laughlin(1963); Gubser(1965); Spencer(1959); 
Ethnographic Atlas,Kpelle,Af15,xd192,Kpelle (Af15),7.0,-9.0,7.0,-9.0,libe1247,Liberia Kpelle,xpe,Mande,1920,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Gibbs(1963); Westermann(1921); Schwab(1947); Gibbs(1965); ,1920,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,1920,2,A high god present but otiose or not concerned with human affairs,,,Gibbs(1963); Westermann(1921); Schwab(1947); Gibbs(1965); ,1920,8,Games of all three types present,,,Gibbs(1963); Westermann(1921); Schwab(1947); Gibbs(1965); 
Ethnographic Atlas,Serbs,Ch1,xd546,Serbs (Ch1),44.0,20.0,44.0,20.0,serb1264,Serbian,srp,Indo-European,1950,5,"Intensive agriculture on permanent fields, utilizing fertilization by compost or animal manure, crop rotation, or other techniques so that fallowing is either unnecessary or is confined to relatively short periods",,with special reference to the village of Orasac,Halpern(1957); Halpern(1956); Coon(1949); ,1950,1,"Trance behavior is known to occur, but there is no belief in possession.",,with special reference to the village of Orasac,,1950,4,"A high god present, active, and specifically supportive of human morality",,with special reference to the village of Orasac,Halpern(1957); Halpern(1956); Coon(1949); ,1950,8,Games of all three types present,,with special reference to the village of Orasac,Halpern(1957); Halpern(1956); Coon(1949); 
Ethnographic Atlas,Tanala,Eh3,xd689,Tanala (Eh3),-22.0,47.0,-22.0,47.0,tana1285,Tanala,,Austronesian,1930,6,Intensive cultivation where it is largely dependent upon irrigation,,Menabe subtribe,Kardiner(1939); Murdock(1959); Linton(1939b); Linton(1933); ,1930,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,Menabe subtribe,,1930,2,A high god present but otiose or not concerned with human affairs,,Menabe subtribe,Kardiner(1939); Murdock(1959); Linton(1939b); Linton(1933); ,1930,6,"Games of physical skill and of strategy present, but not games of chance",,Menabe subtribe,Kardiner(1939); Murdock(1959); Linton(1939b); Linton(1933); 
Ethnographic Atlas,Northern Saulteaux,Na33,xd1049,Northern Saulteaux (Na33),52.0,-98.0,52.0,-98.0,alba1270,Albany River Ojibwa,,Algic,1870,1,Complete absence of agriculture,,Berens River band,Hallowell(1963); Hallowell(1955); Hallowell(1942); Hallowell(1941); Hallowell(1940); Hallowell(1939); Hallowell(1938b); Hallowell(1938a); Dunning(1959b); Skinner(1912); ,1870,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,Berens River band,,1870,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Berens River band,Hallowell(1963); Hallowell(1955); Hallowell(1942); Hallowell(1941); Hallowell(1940); Hallowell(1939); Hallowell(1938b); Hallowell(1938a); Dunning(1959b); Skinner(1912); ,1870,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,Berens River band,Hallowell(1963); Hallowell(1955); Hallowell(1942); Hallowell(1941); Hallowell(1940); Hallowell(1939); Hallowell(1938b); Hallowell(1938a); Dunning(1959b); Skinner(1912); 
Ethnographic Atlas,Teton,Ne8,xd1227,Teton (Ne8),43.0,-103.0,43.0,-103.0,lako1247,Lakota,lkt,Siouan,1870,1,Complete absence of agriculture,,,Deloria(1932); Curtis(1908); Erikson(1950); Dorsey(1894); Erikson(1939); Ewers(1937); Hassrick(1964); Hassrick(1944); Goldfrank(1943); Mckeel(1936); Mekeel(1936); Mirsky(1937); Niehardt(1951); MacGregor(1946); ,1870,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,1870,2,A high god present but otiose or not concerned with human affairs,,,Deloria(1932); Curtis(1908); Erikson(1950); Dorsey(1894); Erikson(1939); Ewers(1937); Hassrick(1964); Hassrick(1944); Goldfrank(1943); Mckeel(1936); Mekeel(1936); Mirsky(1937); Niehardt(1951); MacGregor(1946); ,1870,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Deloria(1932); Curtis(1908); Erikson(1950); Dorsey(1894); Erikson(1939); Ewers(1937); Hassrick(1964); Hassrick(1944); Goldfrank(1943); Mckeel(1936); Mekeel(1936); Mirsky(1937); Niehardt(1951); MacGregor(1946); 
Ethnographic Atlas,Yao,Ac7,xd73,Yao (Ac7),-13.0,36.0,-13.0,36.0,yaoo1241,Yao,yao,Atlantic-Congo,1920,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Sanderson(1920); Mitchell(1949); Lawson(1949); Mitchell(1956); Stannus(1922); ,1920,3,Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.,,,,1920,1,A high god absent or not reported in substantial descriptions of religious beliefs,But many Yao have adopted Islam,,Sanderson(1920); Mitchell(1949); Lawson(1949); Mitchell(1956); Stannus(1922); ,1920,6,"Games of physical skill and of strategy present, but not games of chance",,,Sanderson(1920); Mitchell(1949); Lawson(1949); Mitchell(1956); Stannus(1922); 
Ethnographic Atlas,Sherente,Sj2,xd1410,Sherente (Sj2),-9.0,-48.0,-9.0,-48.0,xere1240,Xerénte,xer,Nuclear-Macro-Je,1850,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Nimuendaju(1942); ,1850,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,1850,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Nimuendaju(1942); ,1850,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Nimuendaju(1942); 
Ethnographic Atlas,Anaguta,Ah9,xd336,Anaguta (Ah9),10.0,9.0,10.0,9.0,igut1238,Iguta,nar,Atlantic-Congo,1920,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Gunn(1953); Diamond(1964); ,1920,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,1920,3,A high god present and active in human affairs but not offering positive support to human morality,,,Gunn(1953); Diamond(1964); ,1920,8,Games of all three types present,,,Gunn(1953); Diamond(1964); 
Ethnographic Atlas,Hupa,Nb35,xd1096,Hupa (Nb35),41.0,-123.0,41.0,-123.0,hupa1239,Hupa,hup,Athapaskan-Eyak-Tlingit,1860,1,Complete absence of agriculture,,,Taylor(1947); Goddard(1903); Kroeber(1934); Driver(1939); Wallace(1947b); ,1860,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,1860,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Taylor(1947); Goddard(1903); Kroeber(1934); Driver(1939); Wallace(1947b); ,1860,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Taylor(1947); Goddard(1903); Kroeber(1934); Driver(1939); Wallace(1947b); 
Ethnographic Atlas,Mojave,Nh21,xd1272,Mohave (Nh21),35.0,-114.0,35.0,-114.0,moha1256,Mohave,mov,Cochimi-Yuman,1850,5,"Intensive agriculture on permanent fields, utilizing fertilization by compost or animal manure, crop rotation, or other techniques so that fallowing is either unnecessary or is confined to relatively short periods",,Fort Mohave and Colorado River Reservation,Drucker(1941); Kroeber(1902); Devereaux(1950); Kroeber(1925i); ,1850,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,Fort Mohave and Colorado River Reservation,,1850,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Fort Mohave and Colorado River Reservation,Drucker(1941); Kroeber(1902); Devereaux(1950); Kroeber(1925i); ,1850,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,Fort Mohave and Colorado River Reservation,Drucker(1941); Kroeber(1902); Devereaux(1950); Kroeber(1925i); 
Ethnographic Atlas,Thai,Ej9,xd731,Siamese (Ej9),15.0,100.0,15.0,100.0,thai1261,Thai,tha,Tai-Kadai,1940,6,Intensive cultivation where it is largely dependent upon irrigation,,,Janlekha(1955); Sharp et al.(1954); Anuman Rajadhon(1961); Insor(1963); Sharp and Hanks(1978); Hauck(1958); Hanks(1963); Bush(1964); Phillips(1965); Benedict(1943); Hanks and Hanks(1961); ,1940,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,1940,2,A high god present but otiose or not concerned with human affairs,,,Janlekha(1955); Sharp et al.(1954); Anuman Rajadhon(1961); Insor(1963); Sharp and Hanks(1978); Hauck(1958); Hanks(1963); Bush(1964); Phillips(1965); Benedict(1943); Hanks and Hanks(1961); ,1940,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Janlekha(1955); Sharp et al.(1954); Anuman Rajadhon(1961); Insor(1963); Sharp and Hanks(1978); Hauck(1958); Hanks(1963); Bush(1964); Phillips(1965); Benedict(1943); Hanks and Hanks(1961); 
Ethnographic Atlas,Maidu,Nc12,xd1110,Maidu (Nc12),40.0,-121.0,40.0,-121.0,nort2952,Northeast Maidu,nmu,Maiduan,1850,1,Complete absence of agriculture,,with special reference to the Northeastern Mountain Maidu,Gifford(1922i); Dixon(1905); Voegelin(1942); ,1850,1,"Trance behavior is known to occur, but there is no belief in possession.",,with special reference to the Northeastern Mountain Maidu,,1850,2,A high god present but otiose or not concerned with human affairs,,with special reference to the Northeastern Mountain Maidu,Gifford(1922i); Dixon(1905); Voegelin(1942); ,1850,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,with special reference to the Northeastern Mountain Maidu,Gifford(1922i); Dixon(1905); Voegelin(1942); 
Ethnographic Atlas,Fang,Ae3,xd149,Fang (Ae3),1.0,11.0,1.0,11.0,fang1246,Fang (Equatorial Guinea),fan,Atlantic-Congo,1910,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Tessmann(1913); Alexandre and Binet(1958); Trezenem(1936); ,1910,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,1910,2,A high god present but otiose or not concerned with human affairs,,,Tessmann(1913); Alexandre and Binet(1958); Trezenem(1936); ,1910,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game","But 'all types' (code ""8"") in consequence of recent borrowing",,Tessmann(1913); Alexandre and Binet(1958); Trezenem(1936); 
Ethnographic Atlas,Sinkaitk,Nd15,xd1147,Sinkaitk (Nd15),49.0,-120.0,49.0,-120.0,sout2963,Southern Okanogan,,Salishan,1880,1,Complete absence of agriculture,,,Cline et al.(1938); ,1880,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,1880,2,A high god present but otiose or not concerned with human affairs,,,Cline et al.(1938); ,1880,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Cline et al.(1938); 
Ethnographic Atlas,Montagnais,Na32,xd1048,Montagnais (Na32),48.0,-72.0,48.0,-72.0,mont1268,Montagnais,moe,Algic,1880,1,Complete absence of agriculture,,Lake St. John & Mistassini Band,Lane(1952); Lips(1947b); Lips(1947); Speck(1935); Speck(1931); Leacock(1969); Burgesse(1944); ,1880,1,"Trance behavior is known to occur, but there is no belief in possession.",,Lake St. John & Mistassini Band,,1880,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Lake St. John & Mistassini Band,Lane(1952); Lips(1947b); Lips(1947); Speck(1935); Speck(1931); Leacock(1969); Burgesse(1944); ,1880,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,Lake St. John & Mistassini Band,Lane(1952); Lips(1947b); Lips(1947); Speck(1935); Speck(1931); Leacock(1969); Burgesse(1944); 
Ethnographic Atlas,Tapirapé,Sd2,xd1354,Tapirape (Sd2),-11.0,-52.0,-11.0,-52.0,tapi1254,Tapirapé,taf,Tupian,1930,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Wagley(1943); Wagley and Galvao(1948a); ,1930,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,1930,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Wagley(1943); Wagley and Galvao(1948a); ,1930,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Wagley(1943); Wagley and Galvao(1948a); 
Ethnographic Atlas,Katikitegon,Na38,xd1054,Katikitegon (Na38),46.0,-92.0,46.0,-92.0,uppe1274,Upper Michigan-Wisconsin Chippewa,,Algic,1800,1,Complete absence of agriculture,,with special reference to the Lac Vieux Desert band,Grant(1890); Kinietz(1947); ,1800,1,"Trance behavior is known to occur, but there is no belief in possession.",,with special reference to the Lac Vieux Desert band,,1800,2,A high god present but otiose or not concerned with human affairs,,with special reference to the Lac Vieux Desert band,Grant(1890); Kinietz(1947); ,1800,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,with special reference to the Lac Vieux Desert band,Grant(1890); Kinietz(1947); 
Ethnographic Atlas,Nez Perce,Nd20,xd1153,Nez Perce (Nd20),45.0,-115.0,45.0,-115.0,nezp1238,Nez Perce,nez,Sahaptian,1850,1,Complete absence of agriculture,,,Elmendorf(1963); Haines(1955); Spiden(1908); Curtis(1911); ,1850,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,1850,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Elmendorf(1963); Haines(1955); Spiden(1908); Curtis(1911); ,1850,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Elmendorf(1963); Haines(1955); Spiden(1908); Curtis(1911); 
Ethnographic Atlas,Shasta,Nb32,xd1093,Shasta (Nb32),41.0,-122.0,41.0,-122.0,shas1239,Shasta,sht,Shastan,1860,1,Complete absence of agriculture,,with special reference to the Shastika or eastern Shasta,Dixon(1907); Kroeber(1925d); Voegelin(1942); Holt(1946); ,1860,7,"Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.",,with special reference to the Shastika or eastern Shasta,,1860,1,A high god absent or not reported in substantial descriptions of religious beliefs,,with special reference to the Shastika or eastern Shasta,Dixon(1907); Kroeber(1925d); Voegelin(1942); Holt(1946); ,1860,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,with special reference to the Shastika or eastern Shasta,Dixon(1907); Kroeber(1925d); Voegelin(1942); Holt(1946); 
Ethnographic Atlas,Iranians,Ea9,xd608,Iranians (Ea9),36.0,52.0,36.0,52.0,tehr1242,Tehrani,,Indo-European,1950,6,Intensive cultivation where it is largely dependent upon irrigation,,,Vreeland(1957); ,1950,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,1950,4,"A high god present, active, and specifically supportive of human morality",,,Vreeland(1957); ,1950,8,Games of all three types present,,,Vreeland(1957); 
Ethnographic Atlas,Gbande,Af54,xd235,Gbande (Af54),8.0,-10.0,8.0,-10.0,band1352,Bandi,bza,Mande,1930,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Schwab(1947); Germann(1933); ,1930,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,1930,2,A high god present but otiose or not concerned with human affairs,,,Schwab(1947); Germann(1933); ,1930,8,Games of all three types present,,,Schwab(1947); Germann(1933); 
Ethnographic Atlas,Nama,Aa3,xd3,Nama Hottentot (Aa3),-26.0,18.0,-26.0,18.0,nama1265,Nama,,Khoe-Kwadi,1840,1,Complete absence of agriculture,,Gei/Khauan tribe,Schultze(1907); Murdock(1934f); Kohler(1970); Schapera(1930); Hoernl(1925); Hoernl(1918); ,1840,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,Gei/Khauan tribe,,1840,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Gei/Khauan tribe,Schultze(1907); Murdock(1934f); Kohler(1970); Schapera(1930); Hoernl(1925); Hoernl(1918); ,1840,8,Games of all three types present,,Gei/Khauan tribe,Schultze(1907); Murdock(1934f); Kohler(1970); Schapera(1930); Hoernl(1925); Hoernl(1918); 
Ethnographic Atlas,Pukapukans,Ii3,xd882,Pukapukans (Ii3),-10.89,-165.84,-11.0,-166.0,puka1242,Pukapuka,pkp,Austronesian,1930,4,"Horticulture, i.e., semi-intensive agriculture limited mainly to vegetable gardens or groves of fruit trees rather than the cultivation of field crops",,,Beaglehole and Beaglehole(1938); Macgregor(1935); ,1930,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,1930,2,A high god present but otiose or not concerned with human affairs,,,Beaglehole and Beaglehole(1938); Macgregor(1935); ,1930,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Beaglehole and Beaglehole(1938); Macgregor(1935); 
Ethnographic Atlas,Muscogee,Ng3,xd1252,Creek (Ng3),33.0,-84.0,33.0,-84.0,cree1270,Creek,mus,Muskogean,1750,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,Upper division in Alabama,Speck(1907); Swanton(1928a); Murdock(1956); Bartram(1953); Swanton(1946); Swanton(1928c); ,1750,1,"Trance behavior is known to occur, but there is no belief in possession.",,Upper division in Alabama,,1750,2,A high god present but otiose or not concerned with human affairs,,Upper division in Alabama,Speck(1907); Swanton(1928a); Murdock(1956); Bartram(1953); Swanton(1946); Swanton(1928c); ,1750,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,Upper division in Alabama,Speck(1907); Swanton(1928a); Murdock(1956); Bartram(1953); Swanton(1946); Swanton(1928c); 
Ethnographic Atlas,Palauans,If1,xd824,Palauans (If1),7.45,134.54,7.0,135.0,pala1344,Palauan,pau,Austronesian,1940,4,"Horticulture, i.e., semi-intensive agriculture limited mainly to vegetable gardens or groves of fruit trees rather than the cultivation of field crops",Irrigated cultivation of wet taro and swidden cultivation of dry taro also occur,"Ulimang, Badeldaob Island",Kubary(1873); Force(1960); Kubary(1900); Barnett(1960); Barnett(1949); Kramer(1929); Semper(1873); Keate(1788); Murdock et al.(1944b); ,1940,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,"Ulimang, Badeldaob Island",,1940,1,A high god absent or not reported in substantial descriptions of religious beliefs,But Christian beliefs are widely accepted today,"Ulimang, Badeldaob Island",Kubary(1873); Force(1960); Kubary(1900); Barnett(1960); Barnett(1949); Kramer(1929); Semper(1873); Keate(1788); Murdock et al.(1944b); ,1940,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant","But games of chance, at least those using playing cards, are of relatively recent European origin","Ulimang, Badeldaob Island",Kubary(1873); Force(1960); Kubary(1900); Barnett(1960); Barnett(1949); Kramer(1929); Semper(1873); Keate(1788); Murdock et al.(1944b); 
Ethnographic Atlas,Huchnom,Nc16,xd1114,Huchnom (Nc16),39.0,-123.0,39.0,-123.0,yuki1243,Yuki,yuk,Yuki-Wappo,1860,1,Complete absence of agriculture,,,Foster(1944); Gifford(1922d); ,1860,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,1860,2,A high god present but otiose or not concerned with human affairs,,,Foster(1944); Gifford(1922d); ,1860,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Foster(1944); Gifford(1922d); 
Ethnographic Atlas,Omaha,Nf3,xd1237,Omaha (Nf3),41.0,-96.0,41.0,-96.0,omah1248,Omaha,,Siouan,1850,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,Omaha Tribe,Fletcher and La Flesche(1911); Mead(1932b); Fortune(1932a); Dorsey(1884); ,1850,1,"Trance behavior is known to occur, but there is no belief in possession.",,Omaha Tribe,,1850,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Omaha Tribe,Fletcher and La Flesche(1911); Mead(1932b); Fortune(1932a); Dorsey(1884); ,1850,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,Omaha Tribe,Fletcher and La Flesche(1911); Mead(1932b); Fortune(1932a); Dorsey(1884); 
